"","ID","date","postcode","property_type","whether_old_or_new","freehold_or_leasehold","address1","address2","address3","town","local_aut","county","postcode_short","current_energy_rating","total_floor_area","number_habitable_rooms","co2_emissions_current","co2_emissions_potential","energy_consumption_current","energy_consumption_potential","windows_energy_eff","tenure","latitude","longitude","population","altitude","london_zone","nearest_station","water_company","average_income","district","type_of_closest_station","num_tube_lines","num_rail_lines","num_light_rail_lines","distance_to_station","asking_price","is_station","is_district","is_postcode","predict","profitMargin","buy","actualProfit"
"1",5977,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW7","C",69,3,2.1,1,177,81,"Very Poor","owner-occupied",51.496389,-0.174807,24,15,1,"south kensington","Thames Water",50600,"Kensington and Chelsea","tube",3,0,0,0.1572142,192000,TRUE,TRUE,FALSE,1120146.69969113,4.83409739422465,1,4.83409739422465
"2",9101,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"RM14","E",84,4,5.3,1.8,373,119,"Very Poor","owner-occupied",51.561893,0.243151,39,16,6,"upminster","Essex & Suffolk Water",54600,"Havering","tube",1,0,1,0.5070624,83000,FALSE,FALSE,FALSE,374048.301301628,3.50660603977865,1,3.50660603977865
"3",7296,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"E1W","B",63,3,1.2,1.2,108,108,"Good","owner-occupied",51.511732,-0.046553,91,14,2,"limehouse","Thames Water",62600,"Tower Hamlets","light_rail",0,0,1,0.5176262,112000,FALSE,FALSE,FALSE,452623.474306813,3.04128102059654,1,3.04128102059654
"4",15713,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"HA0","D",65,3,3.1,1.8,271,160,"Average","rental (private)",51.551003,-0.303088,96,41,4,"wembley central","Affinity Water",47800,"Brent","tube",2,1,1,0.3343132,84000,FALSE,FALSE,FALSE,279141.498455945,2.32311307685649,1,2.32311307685649
"5",11008,NA,NA,"F","N","L",NA,NA,NA,"LEYTON",NA,NA,"E10","C",69,3,1.3,1.3,101,101,"Good","owner-occupied",51.569596,-0.035951,50,7,3,"lea bridge","Thames Water",54700,"Waltham Forest","rail",0,1,0,0.3628976,130000,FALSE,FALSE,FALSE,383931.718911184,1.95332091470142,1,1.95332091470142
"6",5770,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"E2","B",101,4,1.7,1.7,91,91,"Good","owner-occupied",51.5335,-0.055584,85,17,2,"cambridge heath","Thames Water",44400,"Hackney","light_rail",0,0,1,0.1037738,218000,FALSE,FALSE,FALSE,624938.708211759,1.86669132207229,1,1.86669132207229
"7",8684,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW18","B",49,2,0.9,0.9,107,107,"Average","owner-occupied",51.458085,-0.195393,18,9,2,"wandsworth town","Thames Water",58200,"Wandsworth","rail",0,1,0,0.5760378,131000,FALSE,FALSE,FALSE,364564.342080757,1.78293390901342,1,1.78293390901342
"8",5843,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"CR2","E",145,4,8.6,6.6,337,256,"Average","rental (private)",51.346956,-0.053984,28,122,3,"gravel hill","SES Water",54400,"Croydon","light_rail",0,0,1,1.0619726,240000,FALSE,FALSE,FALSE,661805.722348253,1.75752384311772,1,1.75752384311772
"9",9878,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"TW5","E",156,5,8.4,3.6,306,131,"Average","owner-occupied",51.48513,-0.392908,60,29,5,"hounslow west","Thames Water",43800,"Hounslow","tube",1,0,0,1.2452856,271000,FALSE,FALSE,FALSE,719725.365767405,1.6558131578133,1,1.6558131578133
"10",11283,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW18","E",68,3,5,5,413,413,"Average","owner-occupied",51.444229,-0.189655,67,11,3,"earlsfield","Thames Water",62700,"Wandsworth","rail",0,1,0,0.1727492,188000,FALSE,FALSE,FALSE,482758.37988748,1.56786372280574,1,1.56786372280574
"11",3128,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"CR4","C",75,3,2,1.9,157,145,"Good","owner-occupied",51.408376,-0.164901,129,22,3,"mitcham eastfields","Thames Water",45700,"Merton","rail",0,1,0,0.5729308,117000,FALSE,FALSE,FALSE,297093.243858357,1.53925849451587,1,1.53925849451587
"12",12485,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"CR4","E",69,3,3.2,2.3,276,200,"Good","owner-occupied",51.411283,-0.16215,80,22,3,"mitcham eastfields","Thames Water",47600,"Merton","rail",0,1,0,0.521976,123000,FALSE,FALSE,FALSE,308522.018864194,1.50830909645686,1,1.50830909645686
"13",10024,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SE16","C",58,3,1.6,1.3,147,116,"Good","rental (private)",51.49129,-0.046966,58,8,2,"surrey quays","Thames Water",51800,"Southwark","light_rail",0,0,1,0.298272,140000,FALSE,FALSE,FALSE,341992.092315789,1.44280065939849,1,1.44280065939849
"14",656,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"W6","E",114,6,5.7,2.9,283,143,"Very Poor","rental (private)",51.484156,-0.221455,91,6,2,"barons court","Thames Water",59500,"Hammersmith and Fulham","tube",2,0,0,0.8519394,503000,FALSE,TRUE,FALSE,1206384.53690413,1.39837880100225,1,1.39837880100225
"15",8866,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"E3","D",58,2,2.8,1.2,253,110,"Average","owner-occupied",51.536359,-0.032838,23,17,2,"hackney wick","Thames Water",46200,"Tower Hamlets","light_rail",0,0,1,0.9140794,152000,FALSE,FALSE,FALSE,359162.502513731,1.36291120074823,1,1.36291120074823
"16",10952,NA,NA,"T","N","L",NA,NA,NA,NA,NA,NA,"SW11","E",150,7,7.9,3.5,297,132,"Poor","owner-occupied",51.460972,-0.165845,187,15,2,"clapham junction","Thames Water",73000,"Wandsworth","light_rail",0,1,1,0.4126096,585000,FALSE,FALSE,FALSE,1375540.26291054,1.35135087677016,1,1.35135087677016
"17",15439,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"BR6","D",141,6,5.8,3.4,211,123,"Average","owner-occupied",51.374385,0.066249,14,94,6,"orpington","Thames Water",66900,"Bromley","rail",0,1,0,1.2316148,325000,FALSE,FALSE,FALSE,745430.953010175,1.29363370156977,1,1.29363370156977
"18",10237,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"BR5","C",54,3,3.1,2.3,339,254,"Good","owner-occupied",51.397416,0.117601,83,46,6,"st mary cray","Thames Water",43200,"Bromley","rail",0,1,0,0.6692478,98000,FALSE,FALSE,FALSE,220249.212497483,1.24744094385187,1,1.24744094385187
"19",8567,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"N22","C",47,2,1.2,1.1,150,129,"Average","rental (private)",51.603155,-0.117822,94,40,3,"alexandra palace","Thames Water",51000,"Haringey","rail",0,1,0,0.4020458,137000,FALSE,FALSE,FALSE,303226.075054904,1.2133290149993,1,1.2133290149993
"20",1003,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"NW3","D",125,3,6.2,5,279,229,"Very Poor","owner-occupied",51.553672,-0.186478,73,76,2,"finchley road and frognal","Thames Water",67300,"Camden","light_rail",0,0,1,0.285844,601000,FALSE,TRUE,FALSE,1321689.20468518,1.19915009099032,1,1.19915009099032
"21",12412,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"CR2","E",103.26,5,6.2,3.9,361,225,"Average","owner-occupied",51.347541,-0.060522,67,155,3,"coombe lane","SES Water",62800,"Croydon","light_rail",0,0,1,1.5988622,228000,FALSE,FALSE,FALSE,500530.646483683,1.19530985299861,1,1.19530985299861
"22",4848,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"TW5","D",126,5,4.6,2.4,208,106,"Average","rental (private)",51.486295,-0.388676,98,32,5,"hounslow west","Thames Water",51500,"Hounslow","tube",1,0,0,1.2011662,261000,FALSE,FALSE,FALSE,553801.289638623,1.12184402160392,1,1.12184402160392
"23",10305,NA,NA,"S","N","F",NA,NA,NA,"CATFORD",NA,NA,"SE6","E",134,6,7.7,3.4,327,142,"Average","owner-occupied",51.446449,-0.01201,104,22,3,"catford bridge","Thames Water",48700,"Lewisham","rail",0,1,0,0.6636552,312000,FALSE,FALSE,FALSE,654040.521035159,1.09628372126654,1,1.09628372126654
"24",8632,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"W2","D",39,1,1.7,1.2,252,169,"Very Poor","rental (social)",51.519176,-0.187589,254,29,2,"royal oak","Thames Water",56500,"Westminster","tube",2,0,0,0.1000454,259000,FALSE,TRUE,FALSE,534190.238665931,1.06251057399973,1,1.06251057399973
"25",11374,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"UB2","D",146,5,6.1,2.9,236,110,"Average","owner-occupied",51.503133,-0.383184,28,33,4,"southall","Affinity Water",45400,"Ealing","rail",0,1,0,0.4281446,309000,FALSE,FALSE,FALSE,632046.935527469,1.0454593382766,1,1.0454593382766
"26",10123,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SE26","E",49,2,4.3,2.6,519,309,"Average","owner-occupied",51.424712,-0.041808,37,33,4,"lower sydenham","Thames Water",52600,"Lewisham","rail",0,1,0,0.758108,1e+05,FALSE,FALSE,FALSE,200745.194534215,1.00745194534215,1,1.00745194534215
"27",15829,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SM1","D",52,2,2.8,2,305,221,"Poor","owner-occupied",51.364478,-0.201617,58,47,5,"west sutton","SES Water",55200,"Sutton","rail",0,1,0,0.382161,117000,FALSE,FALSE,FALSE,233050.45060672,0.991884193219833,1,0.991884193219833
"28",13940,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"EN4","C",50,3,1.6,1.5,187,170,"Very Poor","rental (private)",51.656496,-0.160242,42,84,5,"cockfosters","Affinity Water",54900,"Barnet","tube",1,0,0,0.7730216,152000,FALSE,FALSE,FALSE,302733.997067449,0.99167103333848,1,0.99167103333848
